id,mum,dad,p
5080,2963,1796,0.948
5099,1753,1775,1
5116,563,1587,1
5117,3002,1581,1
5118,1717,1797,1
5119,1580,1512,1
5120,3569,3456,1
5121,3698,1489,0.996
5122,1043,1412,0.99
5123,1042,1577,0.998
5125,2985,1752,1
5126,2985,1752,1
5127,1826,1499,1
5128,1789,1801,0.972
5129,1789,1869,1
5130,3090,3458,1
5131,1193,2990,1
5132,3698,3457,1
5133,NA,1796,0.544
5134,3085,1729,0.997
5135,2963,1533,1
5136,2963,1533,1
5137,1776,2991,1
5138,1532,911,0.999
5139,3446,1787,1
5140,1854,1029,1
5141,3487,1543,0.772
5142,3449,2962,1
5144,3608,1553,1
5145,1716,1774,0.984
5146,3567,1604,1
5147,3497,1611,1
5148,1172,1171,1
5149,1757,3617,1
5150,1491,1604,0.998
5151,1438,1708,0.999
5152,1438,1708,1
5153,4907,1171,0.594
5154,3507,4953,1
5155,1361,1698,1
5156,1401,1788,1
5157,1170,1877,0.991
5159,1763,1702,1
5160,1790,1731,1
5161,1872,1777,0.998
5162,NA,4918,1
5163,1536,1787,0.997
5164,1401,1877,0.999
5165,1589,1762,0.892
5166,930,3519,1
5167,1605,497,0.999
5168,3500,2988,0.918
5169,3094,1739,1
5170,2981,1868,1
5171,1678,1412,1
5172,3022,3696,1
5173,1678,3696,1
5174,3650,NA,0.51
5175,2978,1196,1
5194,1419,1795,0.91
5195,1740,1750,1
5196,1605,1499,1
5197,3085,1729,1
5198,3462,3093,1
5199,1763,1702,1
