id	dam	sire	LLRdam	LLRsire	LLRpair	OHdam	OHsire	MEpair
208	NA	NA	NA	NA	NA	NA	NA	NA
1393	951	NA	13.46	NA	NA	0	NA	NA
1275	608	510	4.43	2.49	14.26	0	0	0
1169	558	557	2.9	2.19	15.53	0	0	0
449	NA	NA	NA	NA	NA	NA	NA	NA
4914	1580	1542	0.86	13.88	6.27	0	0	0
7093	5833	5559	-1.65	8.73	14.19	0	0	0
549	NA	293	NA	2.73	NA	NA	1	NA
1057	675	549	6.07	-2.91	36.12	0	0	0
293	NA	21	NA	2.9	NA	NA	0	NA
867	NA	526	NA	2.38	NA	NA	0	NA
21	NA	NA	NA	NA	NA	NA	NA	NA
6557	4882	NA	20.38	NA	NA	0	NA	NA
919	163	510	0.22	-0.95	11.87	0	0	0
1050	853	865	5.11	22.28	18.75	0	0	0
852	NA	674	NA	9.27	NA	NA	0	NA
468	NA	176	NA	3.69	NA	NA	0	NA
217	NA	NA	NA	NA	NA	NA	NA	NA
526	528	178	10.19	8.84	77.68	0	0	0
3692	1672	1533	6.49	4.08	24.1	0	0	0
5273	1536	4967	8.52	12.27	23.21	0	0	0
473	NA	NA	NA	NA	NA	NA	NA	NA
1245	NA	1151	NA	9.36	NA	NA	1	NA
665	NA	178	NA	0.77	NA	NA	0	NA
1151	542	547	0.18	-2.62	24.44	0	0	0
857	531	NA	15.84	NA	NA	0	NA	NA
5166	930	3519	-7.99	6.98	12.84	0	0	0
841	454	221	-4.31	3.89	21.63	2	0	2
6231	5525	6025	16.16	17.5	3.06	0	0	0
877	172	NA	2.03	NA	NA	0	NA	NA
1861	NA	510	NA	0.1	NA	NA	0	NA
827	NA	176	NA	4.34	NA	NA	0	NA
436	500	494	2.12	0.21	-0.66	0	0	0
539	NA	NA	NA	NA	NA	NA	NA	NA
842	794	609	3.46	-2.62	25.27	0	0	0
931	454	664	6.64	14.28	26.74	0	0	2
444	NA	25	NA	6.05	NA	NA	0	NA
669	NA	446	NA	5.09	NA	NA	0	NA
6382	1757	1557	12.32	-2.69	-14.46	0	3	3
474	168	NA	-2.53	NA	NA	0	NA	NA
1362	199	609	-5.03	1.55	12.05	0	0	0
1056	641	637	8.68	-5.25	34.91	0	0	0
680	NA	331	NA	2.77	NA	NA	0	NA
1277	949	557	12.5	5.96	18.6	0	0	0
830	522	NA	22.63	NA	NA	0	NA	NA
627	NA	NA	NA	NA	NA	NA	NA	NA
529	NA	NA	NA	NA	NA	NA	NA	NA
860	670	NA	2.79	NA	NA	0	NA	NA
1023	511	51	6.34	21.3	28.98	0	0	0
1226	835	1165	-3.56	-3.9	13.38	0	0	0
1162	500	494	-1.37	-18.51	16.5	0	0	0
844	671	208	13.84	-2.67	96.26	0	0	0
1053	199	609	13.4	7.97	27.34	0	0	0
3592	2963	1533	-12.76	13.45	23.84	0	0	0
3863	925	837	2.35	14.5	17.63	0	0	0
331	NA	NA	NA	NA	NA	NA	NA	NA
1420	1432	NA	26.64	NA	NA	0	NA	NA
600	NA	NA	NA	NA	NA	NA	NA	NA
940	NA	559	NA	3.08	NA	NA	0	NA
1016	823	562	4.98	3.31	1.56	0	0	0
631	NA	NA	NA	NA	NA	NA	NA	NA
1292	430	1242	4.2	5.21	12.22	0	1	3
799	NA	NA	NA	NA	NA	NA	NA	NA
6673	6028	3456	-1.63	11.26	10.53	0	0	0
1054	NA	21	NA	-0.32	NA	NA	0	NA
945	168	831	-1.38	0.88	7.27	0	0	0
1211	430	642	-4.14	5.28	11.5	2	0	2
914	1859	609	4.41	3.68	29.77	0	0	0
5248	3688	1695	15.73	7.46	10.5	1	0	4
1227	NA	512	NA	2.62	NA	NA	0	NA
502	297	NA	-0.63	NA	NA	0	NA	NA
678	NA	NA	NA	NA	NA	NA	NA	NA
548	NA	NA	NA	NA	NA	NA	NA	NA
598	441	NA	3.24	NA	NA	0	NA	NA
836	NA	636	NA	6.89	NA	NA	0	NA
603	NA	NA	NA	NA	NA	NA	NA	NA
944	524	856	21.42	-0.46	17.66	0	0	0
640	447	448	9.14	17.73	29.07	0	0	0
943	464	NA	2.38	NA	NA	0	NA	NA
1038	869	467	-16.26	8.49	69.26	0	0	3
918	NA	602	NA	29.98	NA	NA	0	NA
1298	1049	636	-16.24	-1.57	9.11	1	0	1
843	NA	494	NA	3.06	NA	NA	0	NA
560	NA	NA	NA	NA	NA	NA	NA	NA
430	NA	NA	NA	NA	NA	NA	NA	NA
1296	670	1211	1.68	28.75	19.16	0	0	0
885	172	1861	26.31	46.2	19.05	0	0	0
